unique_code,active,anomaly_detection_active,counter_reading,create_date,customer,equipment_id,equipment_name,equipment_no,equipment_type,gen_read_val,good,job_order_operation_id,job_order_reference_no,machine_state,measurement_date,operationname,operationno,operationtaskcode,plant_id,plant_name,prod_order_reference_no,produced_stock_id,produced_stock_name,produced_stock_no,shift_finish_time,shift_start_time,stock_id,trend_calculation_active,update_date,valuation_code,work_center_id,work_center_name,work_center_no,work_station_id,work_station_name,work_station_no,workstation_state,year
0be2abec-06c2-4b13-b401-de2a3bee699e,False,True,3.0,2025-09-18 06:48:30.000+0000,teknia_group,7133,Inlet Air Flow,Inlet Air Flow,False,,True,894161,011076 - 1,Running,2025-09-18 06:48:30.000+0000,Preconditioning Predgretje,011076 - 1,11,149,MARIFARM,011076,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
25136989-17e7-4756-a003-1d3c093fc1a8,False,True,232.0,2024-01-04 10:27:24.000+0000,teknia_group,7140,PD Product Filter,PD Product Filter,False,,False,895384,005565 - 4,Running,2024-01-04 10:27:24.000+0000,Heating/Cooling Gretje nad T granulacije,005565 - 4,30,149,MARIFARM,005565,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
8590e3a4-2138-492e-9be7-4a0cb585e172,False,True,28.85,2024-01-19 08:45:52.000+0000,teknia_group,7129,Inlet Air Temperature,Inlet Air Temperature,False,,True,895040,008639 - 2,Running,2024-01-19 08:45:52.000+0000,Charging Polnjenje,008639 - 2,41,149,MARIFARM,008639,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
c2601ce8-6acc-4a30-9586-190069549481,False,True,2313.0,2024-01-12 10:26:47.000+0000,teknia_group,7133,Inlet Air Flow,Inlet Air Flow,False,,True,895036,008633 - 3,Stopped,2024-01-12 10:26:47.000+0000,Heating/Cooling Sušenje (gretje/hlajenje),008633 - 3,27,149,MARIFARM,008633,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
1680a9ea-bf2a-404f-9771-8a3890badeda,False,True,32.2,2024-03-19 12:20:18.000+0000,teknia_group,7141,Exhaust Air Temp.,Exhaust Air Temp.,False,,False,895395,005566 - 7,Running,2024-03-19 12:20:18.000+0000,Discharging Side Praznjnje polnega FB,005566 - 7,83,149,MARIFARM,005566,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
eda32bbf-6edc-4ad2-9b72-da8eff9beb51,False,True,133.0,2025-06-10 07:16:10.000+0000,teknia_group,7139,PD Product,PD Product,False,,True,897180,010708-1 - 2,Running,2025-06-10 07:16:10.000+0000,Heating/Cooling Predgretje posode,010708-1 - 2,21,149,MARIFARM,010708-1,293601,Loperamide 2 mg granulate,Loperamide 2 mg granulate,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
cb599cb2-e7fb-4f87-ae0e-0877c314a3f5,False,True,22.5,2025-09-30 09:43:55.000+0000,teknia_group,7136,Spray Quantity Operation,Spray Quantity Operation,False,,True,895367,011029 - 5,Stopped,2025-09-30 09:43:55.000+0000,Spraying Granulacija,011029 - 5,62,149,MARIFARM,011029,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
9883f487-2c10-466e-95a7-f7e54f17b384,False,True,24.4,2024-12-11 15:49:45.000+0000,teknia_group,7137,Spray Quantity Total,Spray Quantity Total,False,,False,895428,009927 - 5,Stopped,2024-12-11 15:49:45.000+0000,Spraying Granulacija,009927 - 5,62,149,MARIFARM,009927,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
bf877e10-b15d-417e-a722-499bce3b1d1e,False,True,1.5,2025-09-11 09:48:15.000+0000,teknia_group,7134,Atomising Air Pressure,Atomising Air Pressure,False,,True,894142,011008 - 2,Running,2025-09-11 09:48:15.000+0000,Charging Polnjenje,011008 - 2,41,149,MARIFARM,011008,294089,Citramon-Forte tablet mass,Citramon-Forte tablet mass,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
5620d155-500e-43f4-b81b-bab0fd3cb24a,False,True,36.8,2024-01-04 12:33:35.000+0000,teknia_group,7130,Product Temperature,Product Temperature,False,,False,895387,005565 - 7,Stopped,2024-01-04 12:33:35.000+0000,Discharging Side,005565 - 7,80,149,MARIFARM,005565,294092,Antares PV,Antares PV,,,,True,,,951,WORKCENTER,WC1,441165,MARIFARM,MARIFARM,PRODUCTION,
